slug,patreon_url,keywords_count,keywords_found,Graphtreon,Name,Category,Patrons,Earnings,Range,Is Nsfw,Facebook Likes,Twitter Followers,Youtube Subscribers,Youtube Videos,Youtube Views
Kurzgesagt,https://www.patreon.com/Kurzgesagt/overview,1,journalist,https://graphtreon.com/creator/Kurzgesagt,Kurzgesagt ÛÒ In a Nutshell,Video,10877,37930.4,month,0,150797,131278,6067107,80,403381967
jimquisition,https://www.patreon.com/jimquisition/overview,1,reporter,https://graphtreon.com/creator/jimquisition,Jim Sterling,Video,6855,13469.4,month,0,37057,188760,675849,2005,278306135
InRangeTV,https://www.patreon.com/InRangeTV/overview,1,reporting,https://graphtreon.com/creator/InRangeTV,InRange TV,Video,4875,,month,0,20730,,153592,443,25838943
aufeinbier,https://www.patreon.com/aufeinbier/overview,2,journalism;journalist,https://graphtreon.com/creator/aufeinbier,The Pod,Podcasts,4742,25397.4,month,0,3133,1620,,,
NintendoForce,https://www.patreon.com/NintendoForce/overview,1,journalist,https://graphtreon.com/creator/NintendoForce,The Nintendo Force,Magazine,4507,,issue,0,7806,16971,3724,152,1449167
safarisight,https://www.patreon.com/safarisight/overview,1,reporting,https://graphtreon.com/creator/safarisight,Safari Sight,Video,3976,,month,0,1181,,,,
noclip,https://www.patreon.com/noclip/overview,1,journalism,https://graphtreon.com/creator/noclip,Noclip,Video,4188,20583.3,month,0,413,23130,229215,63,7965201
CANADALAND,https://www.patreon.com/CANADALAND/overview,5,journalism;journalist;reporting;investigative;investigation,https://graphtreon.com/creator/CANADALAND,CANADALAND,Podcasts,4156,20155.7,month,0,17944,28732,1354,18,118590
jimmydore,https://www.patreon.com/jimmydore/overview,1,reporting,https://graphtreon.com/creator/jimmydore,The Jimmy Dore Show,Video,3746,,month,0,28363,121351,351923,2657,130062107
radiowarnerd,https://www.patreon.com/radiowarnerd/overview,1,journalist,https://graphtreon.com/creator/radiowarnerd,Gary Brecher,Podcasts,2499,,Per Show (maximum 2 paid shows per month),0,,21063,,,
lorepodcast,https://www.patreon.com/lorepodcast/overview,1,reporter,https://graphtreon.com/creator/lorepodcast,Aaron Mahnke,Podcasts,2355,,month,0,61899,52803,,,
mcmansionhell,https://www.patreon.com/mcmansionhell/overview,1,journalist,https://graphtreon.com/creator/mcmansionhell,McMansionHell,,2134,,month,0,26994,26366,,,
superbunnyhop,https://www.patreon.com/superbunnyhop/overview,3,journalism;journalist;reporting,https://graphtreon.com/creator/superbunnyhop,George Weidman,Games,1392,5603.42,month,0,4481,27499,364885,273,53646035
hooked,https://www.patreon.com/hooked/overview,1,journalist,https://graphtreon.com/creator/hooked,Hooked,Games,1291,7079.03,month,0,1999,4642,22856,706,4860439
