Graphtreon,Name,Category,Patrons,Earnings,Range,"Is Nsfw","Facebook Likes","Twitter Followers","Youtube Subscribers","Youtube Videos","Youtube Views"
https://graphtreon.com/creator/comedybutton,"The Comedy Button",Video,6376,20765,month,0,,,,,
https://graphtreon.com/creator/dtns,"Daily Tech News Show",Podcasts,4877,14758.7,month,0,,,,,
https://graphtreon.com/creator/kindafunnygames,"Kinda Funny Games",Video,4544,27683.7,month,0,,,,,
https://graphtreon.com/creator/crashcourse,"Crash Course",Video,4445,24512,month,0,,,,,
https://graphtreon.com/creator/cgpgrey,"CGP Grey",Video,4251,13510.3,Video,0,,,,,
https://graphtreon.com/creator/kindafunny,"Kinda Funny",Video,4196,22369,month,0,,,,,
https://graphtreon.com/creator/ZachWeinersmith,"Zach Weinersmith",Comics,3579,8939.42,month,0,,,,,
https://graphtreon.com/creator/jephjacques,"Jeph Jacques",Comics,3542,9830.83,month,0,,,,,
https://graphtreon.com/creator/jimquisition,"Jim Sterling",Video,3221,10167.3,month,0,,,,,
https://graphtreon.com/creator/pentatonix,Pentatonix,Music,3190,19750,"Music Video",0,,,,,
https://graphtreon.com/creator/scishow,SciShow,Video,3049,15849.8,month,0,,,,,
https://graphtreon.com/creator/blizzardwatch,"Blizzard Watch",Podcasts,2762,13277.8,month,0,,,,,
https://graphtreon.com/creator/sakimichan,"Sakimi Chan","Adult Drawing & Painting",2387,22230,"Term ( 2 terms per month)",1,,,,,
https://graphtreon.com/creator/ExtraCredits,"Extra Credits",Video,2145,10711,month,0,,,,,
https://graphtreon.com/creator/homefree,"Home Free",Music,2101,16730.5,video,0,,,,,
https://graphtreon.com/creator/cordkillers,Cordkillers,Video,2072,2042.53,episode,0,,,,,
https://graphtreon.com/creator/pomplamoose,Pomplamoose,Music,1983,6814.37,month,0,,,,,
https://graphtreon.com/creator/redlettermedia,"Red Letter Media",Video,1904,11031,month,0,,,,,
https://graphtreon.com/creator/smartereveryday,"Smarter Every Day",Video,1817,5735.5,video,0,,,,,
https://graphtreon.com/creator/everyframeapainting,"Every Frame a Painting",Video,1640,3460.34,video,0,,,,,
https://graphtreon.com/creator/gunnerkrigg,"Tom Siddell",Comics,1505,5669.11,month,0,,,,,
https://graphtreon.com/creator/walkofftheearth,"Walk off the Earth",Music,1452,15818.5,"music video",0,,,,,
https://graphtreon.com/creator/jackconte,"Jack Conte",Music,1421,5384.04,video,0,,,,,
https://graphtreon.com/creator/tms,"Scott Johnson",Video,1384,7276,month,0,,,,,
https://graphtreon.com/creator/user?u=401656,"Chris Harris",,1298,5451.12,post,0,,,,,
https://graphtreon.com/creator/peterhollens,"Peter Hollens",Music,1270,6617.01,"music video",0,,,,,
https://graphtreon.com/creator/dumbingofage,"David M Willis",Comics,1225,4386.93,month,0,,,,,
https://graphtreon.com/creator/loadingreadyrun,LoadingReadyRun,Video,1196,9408.83,month,0,,,,,
https://graphtreon.com/creator/DP,"Drunken Peasants",Podcasts,1138,7617.16,month,0,,,,,
https://graphtreon.com/creator/wehaveconcerns,"We Have Concerns",Podcasts,1117,5594.5,month,0,,,,,
https://graphtreon.com/creator/dresdencodak,"Aaron Diaz",Comics,1088,4803.85,month,0,,,,,
https://graphtreon.com/creator/drevoigt,"André Voigt",Podcasts,1079,2813.49,month,0,,,,,
https://graphtreon.com/creator/jonrosenberg,"Jonathan Rosenberg",Comics,1016,3174.75,month,0,,,,,
https://graphtreon.com/creator/user?u=137918,"Cox n Crendor",,1010,3640.8,,0,,,,,
https://graphtreon.com/creator/moviebob1,"Bob Chipman",Video,992,3989,month,0,,,,,
https://graphtreon.com/creator/TekThing,"Shannon Morse and Patrick Norton",Video,972,2025.34,episode,0,,,,,
https://graphtreon.com/creator/pmj,"Postmodern Jukebox",Music,955,3430.09,month,0,,,,,
https://graphtreon.com/creator/zoe,"Zoë Quinn",Games,951,4189,month,0,,,,,
https://graphtreon.com/creator/alexwoolfson,"Alex Woolfson",Comics,951,7077.07,month,0,,,,,
https://graphtreon.com/creator/sexplanations,Sexplanations,Video,940,4912,month,0,,,,,
https://graphtreon.com/creator/RHAP,"Rob Cesternino",Podcasts,881,6962.34,month,0,,,,,
https://graphtreon.com/creator/vaatividya,VaatiVidya,Video,866,5906.25,month,0,,,,,
https://graphtreon.com/creator/minutephysics,"Henry Reich",Video,850,2275,video,0,,,,,
https://graphtreon.com/creator/CorridorDigital,"Corridor Digital",Video,827,5058.61,month,0,,,,,
https://graphtreon.com/creator/qwantz,"Ryan North",Comics,830,2549,month,0,,,,,
https://graphtreon.com/creator/hellointernet,"Hello Internet",Podcasts,807,1811.5,"Podcast episode",0,,,,,
https://graphtreon.com/creator/minuteearth,MinuteEarth,Video,806,2431,video,0,,,,,
https://graphtreon.com/creator/RDVTech,"Le rendez-vous Tech",Video,780,2219.51,episode,0,,,,,
https://graphtreon.com/creator/SmoothMcGroove,"Smooth McGroove",Video,782,2523.17,"Acapella Video",0,,,,,
https://graphtreon.com/creator/LazyGameReviews,"LGR (Lazy Game Reviews)",Video,774,3000.11,month,0,,,,,
https://graphtreon.com/creator/egscomics,"Dan Shive",Comics,770,3311.7,month,0,,,,,
https://graphtreon.com/creator/ChrisPirillo,"Chris Pirillo (@LockerGnome)",Video,762,5192.39,month,0,,,,,
https://graphtreon.com/creator/octopuspie,"Meredith Gran",Games,749,2599.86,month,0,,,,,
https://graphtreon.com/creator/Kurzgesagt,"Kurzgesagt – In a Nutshell",Video,740,3531.3,month,0,,,,,
https://graphtreon.com/creator/nixiepixel,Nixie,Video,716,8259,month,0,,,,,
https://graphtreon.com/creator/evilhat,"Evil Hat Productions",Games,717,4118.54,"Adventure or World Created",0,,,,,
https://graphtreon.com/creator/YMS,"Adam Johnston",Video,712,2968.1,month,0,,,,,
https://graphtreon.com/creator/Melodylane,"Melody Lane",Video,700,2288,month,0,,,,,
https://graphtreon.com/creator/Thunderf00t,Thunderf00t,Video,681,2996.92,"Per video",0,,,,,
https://graphtreon.com/creator/user?u=439829,"Brianna Wu",Games,668,3401,month,0,,,,,
https://graphtreon.com/creator/davebarrack,"Dave Barrack",Comics,650,3294.26,month,0,,,,,
https://graphtreon.com/creator/Gopher,Gopher,Video,645,2977.82,month,0,,,,,
https://graphtreon.com/creator/girlswithslingshots,"Danielle Corsetto",Comics,629,2283.1,month,0,,,,,
https://graphtreon.com/creator/izzynobre,Izzy,Podcasts,630,2578.95,month,0,,,,,
https://graphtreon.com/creator/AtheistDebates,"Matt Dillahunty",Video,629,3159.06,Video,0,,,,,
https://graphtreon.com/creator/Trumonz,"Mark Diaz Truman",Games,629,1558.45,issue,0,,,,,
https://graphtreon.com/creator/spoonyexperiment,"Noah Antwiler",Video,623,4655.19,month,0,,,,,
https://graphtreon.com/creator/99vidas,99Vidas,Podcasts,604,2501.21,month,0,,,,,
https://graphtreon.com/creator/Kuvshinov_Ilya,"Kuvshinov Ilya","Drawing & Painting",600,3007.85,week,0,,,,,
https://graphtreon.com/creator/nedroid,"Anthony Clark",Comics,579,1845,month,0,,,,,
https://graphtreon.com/creator/natalydawn,"Nataly Dawn",Music,575,1831.5,song,0,,,,,
https://graphtreon.com/creator/ScathingAtheist,"The Scathing Atheist",Podcasts,574,1409,episode,0,,,,,
https://graphtreon.com/creator/retronauts,Retronauts,Podcasts,571,2666.48,month,0,,,,,
https://graphtreon.com/creator/watchwhatcrappens,"Watch What Crappens",Podcasts,561,866,"Podcast Episode",0,,,,,
https://graphtreon.com/creator/podcastmethod,"Dan Benjamin",Podcasts,553,2582.47,month,0,,,,,
https://graphtreon.com/creator/vortex00,Vortex00,"Adult Games",537,1499,month,1,,,,,
https://graphtreon.com/creator/anaitreload,"AnaitGames y Podcast RELOAD",Video,550,4766,month,0,,,,,
https://graphtreon.com/creator/ocremix,"OverClocked ReMix",Music,517,3016.63,month,0,,,,,
https://graphtreon.com/creator/krisstraub,"Kris Straub",Comics,516,1862,month,0,,,,,
https://graphtreon.com/creator/julianunes,"Julia Nunes",Video,513,1985.84,Video,0,,,,,
